Video,algorithm,collision
149,SLM_TOM,0.0
31,SLM,0.0
39,COM,1.0
81,NBO,1.0
130,NBO_TOM,0.0
23,NBO,0.0
100,NBO_TOM,1.0
162,NBO_TOM,1.0
9,COM,1.0
34,COM_TOM,0.0
121,COM,1.0
27,COM,0.0
116,COM_TOM,0.0
138,SLM_TOM,0.0
26,SLM_TOM,0.0
117,NBO,0.0
41,NBO,0.0
54,COM_TOM,0.0
50,NBO_TOM,0.0
44,SLM,0.0
137,SLM,0.0
122,COM_TOM,0.0
16,COM_TOM,0.0
36,NBO_TOM,1.0
2,SLM_TOM,0.0
98,COM_TOM,0.0
57,SLM,0.0
51,SLM,0.0
90,SLM_TOM,0.0
14,SLM_TOM,1.0
141,NBO,0.0
118,NBO_TOM,1.0
88,NBO_TOM,0.0
124,NBO_TOM,1.0
102,SLM_TOM,1.0
108,SLM_TOM,0.0
144,SLM_TOM,1.0
19,SLM,0.0
150,COM,1.0
20,SLM_TOM,0.0
74,COM_TOM,0.0
8,SLM_TOM,1.0
62,NBO_TOM,1.0
68,NBO,1.0
42,NBO,1.0
15,COM,1.0
60,COM_TOM,0.0
18,NBO_TOM,0.0
133,COM,1.0
77,SLM,1.0
78,SLM_TOM,0.0
32,SLM_TOM,0.0
47,COM,0.0
10,COM_TOM,1.0
25,SLM,0.0
70,SLM,1.0
151,COM_TOM,1.0
107,SLM,1.0
83,SLM,1.0
115,COM,0.0
103,COM,1.0
127,COM,0.0
135,NBO,0.0
64,SLM_TOM,0.0
154,COM,1.0
99,NBO,1.0
96,SLM_TOM,0.0
43,NBO_TOM,0.0
152,NBO_TOM,1.0
155,COM_TOM,0.0
4,COM_TOM,1.0
128,COM_TOM,1.0
67,NBO,1.0
125,SLM,1.0
91,COM,1.0
45,SLM,1.0
160,COM_TOM,0.0
136,NBO_TOM,1.0
109,COM,0.0
123,NBO,0.0
17,NBO,0.0
119,SLM,1.0
49,NBO,1.0
7,SLM,1.0
126,SLM_TOM,1.0
140,COM_TOM,1.0
1,SLM,0.0
156,NBO_TOM,0.0
92,COM_TOM,1.0
76,NBO_TOM,0.0
48,COM_TOM,1.0
131,SLM,0.0
95,SLM,1.0
85,COM,1.0
114,SLM_TOM,0.0
40,COM_TOM,1.0
11,NBO,1.0
55,NBO,0.0
101,SLM,1.0
24,NBO_TOM,0.0
30,NBO_TOM,0.0
79,COM,0.0
146,COM_TOM,0.0
69,NBO_TOM,1.0
75,NBO,0.0
13,SLM,0.0
148,NBO_TOM,1.0
120,SLM_TOM,1.0
38,SLM_TOM,1.0
145,COM,1.0
63,SLM,0.0
61,NBO,0.0
22,COM_TOM,1.0
73,COM,1.0
82,NBO_TOM,1.0
12,NBO_TOM,1.0
87,NBO,1.0
143,SLM,1.0
6,NBO_TOM,0.0
104,COM_TOM,1.0
113,SLM,1.0
5,NBO,0.0
53,COM,1.0
106,NBO_TOM,1.0
58,SLM_TOM,0.0
59,COM,0.0
159,COM,1.0
28,COM_TOM,0.0
80,COM_TOM,0.0
132,SLM_TOM,1.0
105,NBO,1.0
56,NBO_TOM,1.0
52,SLM_TOM,0.0
97,COM,0.0
33,COM,1.0
129,NBO,0.0
84,SLM_TOM,1.0
89,SLM,1.0
29,NBO,0.0
3,COM,1.0
35,NBO,0.0
65,COM,0.0
111,NBO,1.0
157,SLM,0.0
46,SLM_TOM,1.0
37,SLM,0.0
93,NBO,1.0
147,NBO,1.0
86,COM_TOM,1.0
139,COM,1.0
94,NBO_TOM,1.0
134,COM_TOM,1.0
71,SLM,1.0
110,COM_TOM,0.0
21,COM,0.0
72,SLM_TOM,0.0
161,NBO,0.0
66,COM_TOM,0.0
158,SLM_TOM,1.0
142,NBO_TOM,1.0
112,NBO_TOM,1.0
153,SLM_TOM,1.0
